,externalfilenum,jobtypedescription,address,issuedate,inspectiontype,fulldeficiency,outcome,inspectioncompleteddate,disciplinetype,general_contractor,checklist,statusname,deficiencies,x_coord,y_coord,processid,point,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2,deficiencyresolved,resolveddate,permitclosedate,permitholder
0,BP2020-01563,Residential Improvement Project,6415R 24 AV NE,2020-02-10T00:00:00.000,Final,acceptable close file,Acceptable,2023-06-23T00:00:00.000,Building Deficiencies,"FUJITA, MARLA",Directives,COMP,False,-113.93983034399159,51.07409946158277,376648076,"{'type': 'Point', 'coordinates': [-113.939830343992, 51.074099461583]}",66,10,,,,
1,BP2021-17389,Commercial / Multi Family Project,#4130 4150 109 AV NE,2022-04-29T00:00:00.000,Final,REceived:C1/C@ ArchC@ Structural,Acceptable,2023-06-23T00:00:00.000,Building Deficiencies,,Documents Commercial,COMP,False,-113.97442293257117,51.1532682372815,442097186,"{'type': 'Point', 'coordinates': [-113.974422932571, 51.153268237282]}",187,5,,,,
2,BP2022-06923,Single Construction Permit,90 BELMONT CR SW,2022-05-18T00:00:00.000,Final,9.8.8  Rear door has been secured closed,Acceptable with Conditions,2023-06-23T00:00:00.000,Building Deficiencies,TRICO HOMES,Exterior,COMP,False,-114.0633605416502,50.868303164944315,442221056,"{'type': 'Point', 'coordinates': [-114.06336054165, 50.868303164944]}",18,13,,,,
3,BP2019-16711,Single Construction Permit,3908 202 AV SE,2019-12-19T00:00:00.000,Final,"At each distribution point, circuit breakers, fuses, and switches shall be marked in a conspicuous and legible manner to indicate clearly which installation or portion of installation they protect or control. (2-100)(3)- Circuit #23B on panel not clearly labelled, circuit #10 15A AFCI labelled ""clothes dryer.""",Not Acceptable,2023-06-21T00:00:00.000,Electrical Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),,COMP,False,-113.94773847244225,50.86758715098196,441630987,"{'type': 'Point', 'coordinates': [-113.947738472442, 50.867587150982]}",145,12,1.0,2023-06-26T00:00:00.000,,
4,BP2019-16711,Single Construction Permit,3908 202 AV SE,2019-12-19T00:00:00.000,Final,Each branch circuit supplying 125 V receptacles rated 20 A or less shall be provided with arc-fault protection by a combination-type arc-fault circuit interrupter. (26-658)(1)- Microwave circuits both upstairs and downstairs require AFCI protection.,Not Acceptable,2023-06-21T00:00:00.000,Electrical Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),,COMP,False,-113.94773847244225,50.86758715098196,441630987,"{'type': 'Point', 'coordinates': [-113.947738472442, 50.867587150982]}",145,12,1.0,2023-06-26T00:00:00.000,,
5,BP2019-16711,Single Construction Permit,3908 202 AV SE,2019-12-19T00:00:00.000,Final,Electrical equipment shall be installed and guarded so that adequate provision is made for the safety of persons and property and for the protection of the electrical equipment from mechanical or other damage to which it is liable to be exposed. (2-200)- Basement stairwell switch not securely fastened to box with suitable cover plate. - AC disconnect is missing internal metal guard to protect live line/load terminal screws and wiring.,Not Acceptable,2023-06-21T00:00:00.000,Electrical Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),,COMP,False,-113.94773847244225,50.86758715098196,441630987,"{'type': 'Point', 'coordinates': [-113.947738472442, 50.867587150982]}",145,12,1.0,2023-06-26T00:00:00.000,,
6,BP2019-16711,Single Construction Permit,3908 202 AV SE,2019-12-19T00:00:00.000,Final,"Where an additional dwelling unit is created by subdivision of a dwelling unit, the smoke alarms and carbon monoxide alarms installed in the additional dwelling unit shall be permitted to be connected to a branch circuit installed in the original dwelling unit provided that the panelboard supplying the branch circuit is labelled in a conspicuous, legible, and permanent manner. (26-656)(b)- If basement is to be used as suite, labelling for the smoke detector is required at panel.",Not Acceptable,2023-06-21T00:00:00.000,Electrical Deficiencies,BROOKFIELD RESIDENTIAL (ALBERTA),,COMP,False,-113.94773847244225,50.86758715098196,441630987,"{'type': 'Point', 'coordinates': [-113.947738472442, 50.867587150982]}",145,12,1.0,2023-06-26T00:00:00.000,,
7,BP2012-16164,Commercial / Multi Family Project,607 3 AV NE,2013-12-05T00:00:00.000,Final,"Pre-Possession Inspection Observations were:  - DP complete, close file.",Acceptable,2023-05-02T00:00:00.000,Building Deficiencies,,General Inspection Observations,COMP,False,-114.0493209473737,51.05516400189208,343755285,"{'type': 'Point', 'coordinates': [-114.049320947374, 51.055164001892]}",261,9,,,2023-05-02T00:00:00.000,
8,BP2015-01813,Residential Improvement Project,3151 107 AV SW,2015-12-03T00:00:00.000,Framing,Alteration Inspection Observations were: Second floor addition completed under BP2017-05610- required structural documentation previously received. - trade permits for this scope of work completed,Acceptable  - Close Permit,2023-05-08T00:00:00.000,Building Deficiencies,"KELLY, RHANDI",General Inspection Observations,COMP,False,-114.13204765228737,50.95731274021182,136218317,"{'type': 'Point', 'coordinates': [-114.132047652287, 50.957312740212]}",306,11,,,2023-05-08T00:00:00.000,
9,BP2015-01813,Residential Improvement Project,3151 107 AV SW,2015-12-03T00:00:00.000,Framing,"Field Level Hazard Assessment: Conditions were +14, cloudyNo unsafe conditions identified Hard hat, safety boots and vest worn.",Acceptable  - Close Permit,2023-05-08T00:00:00.000,Building Deficiencies,"KELLY, RHANDI",Field Level Hazard Assessment (FLHA),COMP,False,-114.13204765228737,50.95731274021182,136218317,"{'type': 'Point', 'coordinates': [-114.132047652287, 50.957312740212]}",306,11,,,2023-05-08T00:00:00.000,
